fileName,min,normalized
1000134475.meta.json,0,0.75,
1000192834.meta.json,1,1,
1000193243.meta.json,0,0.875,
100028644.meta.json,1,1,
1000300408.meta.json,0,0.625,
1000359086.meta.json,0,0.75,
1000400909.meta.json,1,1,
1000419154.meta.json,0,0.5,
1000451537.meta.json,0,0.625,
1000531133.meta.json,0,0.75,
1000559104.meta.json,1,1,
1000595524.meta.json,0,0.875,
1000796620.meta.json,1,1,
1000982613.meta.json,0,0.5,
1001055838.meta.json,0,0.625,
100113733.meta.json,1,1,
1001369536.meta.json,0,0.375,
1001469544.meta.json,0,0.625,
1001546256.meta.json,1,1,
1001589842.meta.json,1,1,
1001829483.meta.json,0,0.75,
1001907585.meta.json,0,0.75,
100193728.meta.json,0,0.75,
100201977.meta.json,1,1,
1002174688.meta.json,0,0.875,
1002433722.meta.json,0,0.875,
1002498967.meta.json,0,0.625,
1002500217.meta.json,0,0.625,
10027293.meta.json,0,0.875,
1002807019.meta.json,0,0.375,
1002810519.meta.json,0,0.625,
1003148129.meta.json,0,0.5,
1003233611.meta.json,1,1,
1003239331.meta.json,0,0.75,
1003326258.meta.json,1,1,
1003354322.meta.json,0,0.5,
100343055.meta.json,0,0.375,
1003554192.meta.json,0,0.75,
100368041.meta.json,0,0.125,
1003704227.meta.json,1,1,
100389543.meta.json,0,0.25,
1003976445.meta.json,0,0.875,
1004160798.meta.json,0,0.875,
1004162666.meta.json,0,0.75,
1004168502.meta.json,0,0.5,
1004218825.meta.json,0,0.25,
1004323525.meta.json,0,0.5,
1004369062.meta.json,0,0.875,
1004444520.meta.json,0,0.875,
1004549695.meta.json,0,0.75,
1004732332.meta.json,0,0.875,
1004747534.meta.json,1,1,
1004882921.meta.json,1,1,
1004966509.meta.json,0,0.875,
100513699.meta.json,0,0.25,
1005180127.meta.json,0,0.625,
1005205313.meta.json,1,1,
1005205836.meta.json,0,0.625,
1005230335.meta.json,0,0.875,
1005251135.meta.json,0,0.375,
1005540511.meta.json,1,1,
1005631758.meta.json,0,0.5,
1005648178.meta.json,0,0.75,
1005740445.meta.json,0,0.625,
1005869593.meta.json,0,0.875,
1006208094.meta.json,0,0.625,
1006243522.meta.json,0,0.875,
1006305221.meta.json,0,0.625,
1006453108.meta.json,0,0.75,
1006466303.meta.json,0,0.625,
1006504541.meta.json,1,1,
1006550737.meta.json,0,0.875,
1006741644.meta.json,0,0.625,
1006854202.meta.json,0,0.875,
1006911955.meta.json,0,0.875,
1007082441.meta.json,1,1,
1007265822.meta.json,1,1,
1007367623.meta.json,0,0.625,
1007403688.meta.json,1,1,
1007437163.meta.json,1,1,
1007541173.meta.json,0,0.625,
1007550920.meta.json,1,1,
100756588.meta.json,1,1,
1007595523.meta.json,0,0.5,
1007769308.meta.json,0,0.75,
1007970769.meta.json,1,1,
1008013011.meta.json,0,0.75,
1008414191.meta.json,0,0.875,
1008433273.meta.json,0,0.75,
1008587559.meta.json,0,0.75,
1008690213.meta.json,0,0.375,
1008737517.meta.json,0,0.75,
1008939313.meta.json,0,0.5,
1009005916.meta.json,0,0.5,
1009018972.meta.json,0,0.875,
1009034808.meta.json,0,0.75,
100918869.meta.json,0,0.375,
1009212273.meta.json,0,0.5,
1009232864.meta.json,0,0.375,
1009591085.meta.json,0,0.25,
1009606690.meta.json,1,1,
1009903128.meta.json,0,0.25,
1009926561.meta.json,0,0.625,
1010183281.meta.json,0,0.375,
1010268378.meta.json,0,0.75,
1010632691.meta.json,0,0.875,
1010741295.meta.json,1,1,
101085585.meta.json,0,0.625,
1010934224.meta.json,0,0.875,
1010961388.meta.json,0,0.875,
1011162311.meta.json,0,0.625,
1011189926.meta.json,1,1,
101120533.meta.json,0,0.875,
1011297735.meta.json,1,1,
101132629.meta.json,0,0.625,
1011361322.meta.json,0,0.5,
1011518868.meta.json,0,0.625,
1011817112.meta.json,0,0.625,
1011821688.meta.json,0,0.75,
101213990.meta.json,0,0.375,
1012180590.meta.json,0,0.375,
1012185802.meta.json,0,0.875,
1012220286.meta.json,0,0.375,
101230737.meta.json,1,1,
1012370956.meta.json,0,0.75,
1012437227.meta.json,0,0.375,
1012743609.meta.json,1,1,
101281281.meta.json,0,0.75,
1012896506.meta.json,1,1,
1013194106.meta.json,0,0.875,
1013254127.meta.json,0,0.5,
1013385050.meta.json,0,0.75,
1013472006.meta.json,0,0.375,
1013671876.meta.json,0,0.625,
1013962777.meta.json,0,0.625,
1014071243.meta.json,0,0.75,
1014225342.meta.json,0,0.75,
1014293645.meta.json,1,1,
1014335529.meta.json,0,0.75,
101435818.meta.json,0,0.375,
1014461262.meta.json,0,0.875,
1014602753.meta.json,0,0.875,
1014610976.meta.json,0,0.625,
1014649280.meta.json,0,0.25,
1014684167.meta.json,0,0.625,
1014787172.meta.json,0,0.625,
1014927748.meta.json,1,1,
1015184967.meta.json,0,0.875,
1015232874.meta.json,0,0.875,
1015236059.meta.json,0,0.75,
1015246966.meta.json,0,0.25,
1015262916.meta.json,0,0.125,
1015323430.meta.json,0,0.875,
1015337813.meta.json,0,0.75,
1015395443.meta.json,1,1,
101554238.meta.json,0,0.75,
1015656767.meta.json,1,1,
1015741015.meta.json,1,1,
1015762573.meta.json,1,1,
101578045.meta.json,0,0.875,
1015819134.meta.json,1,1,
1015840676.meta.json,0,0.875,
1016144510.meta.json,0,0.75,
1016244355.meta.json,0,0.75,
1016249624.meta.json,1,1,
1016273858.meta.json,0,0.875,
101642429.meta.json,0,0.375,
1016644416.meta.json,0,0.625,
1016751564.meta.json,0,0.25,
1016960034.meta.json,1,1,
1017028191.meta.json,1,1,
1017239030.meta.json,0,0.5,
1017402496.meta.json,0,0.375,
1017507635.meta.json,0,0.75,
1017560117.meta.json,0,0.25,
1017657322.meta.json,0,0.25,
1017732719.meta.json,0,0.875,
101795249.meta.json,0,0.875,
1017969000.meta.json,1,1,
1017990209.meta.json,0,0.75,
1018153198.meta.json,0,0.875,
1018239985.meta.json,0,0.75,
1018246115.meta.json,1,1,
1018291356.meta.json,0,0.75,
1018580006.meta.json,0,0.875,
1018585778.meta.json,0,0.375,
1018819034.meta.json,0,0.5,
1019044747.meta.json,0,0.75,
1019250016.meta.json,0,0.875,
1019257616.meta.json,0,0.75,
1019404680.meta.json,0,0.5,
1019574561.meta.json,1,1,
1019627003.meta.json,1,1,
1019657143.meta.json,0,0.875,
101967997.meta.json,0,0.75,
1019706418.meta.json,0,0.375,
1019751893.meta.json,0,0.375,
1020129604.meta.json,0,0.25,
1020496368.meta.json,1,1,
1020722506.meta.json,1,1,
1020811925.meta.json,0,0.5,
1020975201.meta.json,0,0.25,
1021091398.meta.json,0,0.75,
1021118354.meta.json,0,0.75,
1021181903.meta.json,1,1,
1021255468.meta.json,0,0.25,
1021404301.meta.json,1,1,
1021422786.meta.json,0,0.75,
102147676.meta.json,0,0.5,
1021525987.meta.json,0,0.375,
1021536804.meta.json,1,1,
1021591858.meta.json,0,0.75,
1021618104.meta.json,1,1,
1021648949.meta.json,0,0.375,
1021676957.meta.json,0,0.625,
1021816658.meta.json,0,0.875,
1021852499.meta.json,1,1,
102200917.meta.json,0,0.75,
1022265098.meta.json,0,0.5,
1022489032.meta.json,1,1,
102261676.meta.json,0,0.875,
102263233.meta.json,0,0.375,
1022785501.meta.json,0,0.75,
102300656.meta.json,0,0.625,
1023113524.meta.json,0,0.375,
1023125370.meta.json,1,1,
102313104.meta.json,0,0.375,
1023163839.meta.json,0,0.875,
1023546488.meta.json,1,1,
1023662783.meta.json,0,0.125,
1023959566.meta.json,1,1,
1024215554.meta.json,0,0.75,
1024221549.meta.json,0,0.625,
1024396283.meta.json,1,1,
1024425030.meta.json,0,0.875,
102453938.meta.json,0,0.5,
1024559312.meta.json,0,0.25,
1024569312.meta.json,0,0.75,
1024641911.meta.json,0,0.5,
1024759920.meta.json,1,1,
1024880952.meta.json,0,0.75,
1024943999.meta.json,0,0.625,
1025024885.meta.json,0,0.5,
1025211006.meta.json,0,0.75,
1025795204.meta.json,0,0.625,
1025894190.meta.json,0,0.5,
1026163270.meta.json,1,1,
1026190307.meta.json,0,0.75,
1026287908.meta.json,0,0.5,
1026398871.meta.json,1,1,
1026426675.meta.json,0,0.375,
1026674280.meta.json,1,1,
1026749804.meta.json,1,1,
1026827159.meta.json,0,0.875,
1027037016.meta.json,0,0.75,
102711735.meta.json,0,0.75,
1027229752.meta.json,0,0.875,
102743984.meta.json,0,0.75,
1027478418.meta.json,0,0.75,
1027484179.meta.json,0,0.875,
1027490769.meta.json,1,1,
1027569574.meta.json,0,0,
1027737581.meta.json,0,0.5,
1027972696.meta.json,0,0.375,
1028168740.meta.json,0,0.75,
1028377243.meta.json,1,1,
1028391225.meta.json,0,0.625,
1028592466.meta.json,1,1,
1028670114.meta.json,0,0.625,
1028878750.meta.json,0,0.5,
1028943036.meta.json,0,0.875,
1028972761.meta.json,1,1,
1029013936.meta.json,0,0.75,
1029021536.meta.json,0,0.5,
1029167747.meta.json,0,0.375,
1029285703.meta.json,1,1,
1029566076.meta.json,0,0.75,
1029651176.meta.json,1,1,
1029888722.meta.json,1,1,
1030199890.meta.json,0,0.375,
1030222072.meta.json,1,1,
103023911.meta.json,0,0.75,
1030257731.meta.json,0,0.875,
1030357664.meta.json,0,0.875,
1030419971.meta.json,1,1,
103042800.meta.json,0,0.625,
1030489511.meta.json,1,1,
1030705906.meta.json,0,0.875,
1030935923.meta.json,0,0.625,
1031083123.meta.json,0,0.75,
1031135092.meta.json,0,0.625,
1031337985.meta.json,0,0.5,
1031392831.meta.json,0,0.625,
1031414416.meta.json,0,0.75,
1031449026.meta.json,0,0.75,
1031585442.meta.json,0,0.625,
1031601218.meta.json,0,0.625,
1031642567.meta.json,0,0.5,
1031711789.meta.json,0,0.75,
1031729982.meta.json,1,1,
1031801213.meta.json,0,0.625,
1031851237.meta.json,0,0.625,
103186549.meta.json,1,1,
1032099534.meta.json,0,0.875,
1032261554.meta.json,0,0.25,
1032313853.meta.json,1,1,
1032361498.meta.json,0,0.25,
1032482829.meta.json,0,0.75,
1032512291.meta.json,0,0.125,
1032800451.meta.json,0,0.375,
1032995931.meta.json,0,0.625,
1033019365.meta.json,0,0.5,
1033239968.meta.json,0,0.5,
103338252.meta.json,1,1,
1033618072.meta.json,0,0.875,
1033632133.meta.json,0,0.375,
1033886762.meta.json,1,1,
1033978385.meta.json,0,0.75,
1034187908.meta.json,0,0.625,
1034247350.meta.json,1,1,
1034335510.meta.json,0,0.75,
103469670.meta.json,0,0.75,
1034715661.meta.json,0,0.5,
1034724857.meta.json,0,0.625,
1034897705.meta.json,0,0.5,
1034919934.meta.json,0,0.625,
1035058931.meta.json,0,0.25,
1035111200.meta.json,0,0.75,
1035129037.meta.json,0,0.5,
1035131639.meta.json,0,0.25,
1035155975.meta.json,1,1,
1035193139.meta.json,0,0.75,
1035274499.meta.json,0,0.625,
1035284164.meta.json,0,0.875,
103548326.meta.json,0,0.625,
1035516956.meta.json,0,0.875,
1035605564.meta.json,0,0.375,
1035687371.meta.json,0,0.25,
1035719702.meta.json,1,1,
1035869279.meta.json,0,0.875,
103596521.meta.json,1,1,
1035987834.meta.json,0,0.875,
1036030251.meta.json,0,0.75,
1036031093.meta.json,0,0.375,
1036031430.meta.json,0,0.75,
1036269641.meta.json,0,0.5,
103633474.meta.json,1,1,
1036346325.meta.json,0,0.5,
1036372461.meta.json,0,0.375,
1036482855.meta.json,0,0.75,
1036483685.meta.json,1,1,
1036565399.meta.json,0,0.625,
1036581365.meta.json,0,0.75,
1036752251.meta.json,1,1,
1036884338.meta.json,0,0.75,
1037195195.meta.json,0,0.875,
1037263320.meta.json,0,0.25,
1037531241.meta.json,0,0.5,
1037559497.meta.json,0,0.375,
1037584453.meta.json,0,0.375,
1037624884.meta.json,0,0.625,
1037663561.meta.json,0,0.75,
1038050553.meta.json,0,0.625,
1038193440.meta.json,0,0.375,
1038249596.meta.json,0,0.875,
1038278203.meta.json,0,0.75,
1038331594.meta.json,0,0.625,
1038751209.meta.json,0,0.625,
1038896099.meta.json,0,0.375,
103911185.meta.json,0,0.25,
1039155719.meta.json,0,0.375,
1039199550.meta.json,0,0.875,
1039561600.meta.json,0,0.5,
1039825859.meta.json,1,1,
1039833969.meta.json,0,0.875,
1039850241.meta.json,1,1,
1040078651.meta.json,1,1,
1040516350.meta.json,0,0.375,
1041173391.meta.json,1,1,
1041215828.meta.json,0,0.875,
104124934.meta.json,0,0.25,
1041470485.meta.json,0,0.625,
1041729393.meta.json,0,0.75,
1041827841.meta.json,0,0.875,
104205939.meta.json,1,1,
1042061421.meta.json,1,1,
1042142536.meta.json,0,0.625,
1042164645.meta.json,0,0.75,
104231375.meta.json,0,0.75,
1042317506.meta.json,0,0.75,
1042442687.meta.json,0,0.5,
1042452457.meta.json,0,0.75,
1042670141.meta.json,1,1,
1043130788.meta.json,0,0.625,
1043134396.meta.json,0,0.625,
1043204967.meta.json,1,1,
1043256737.meta.json,0,0.5,
1043349883.meta.json,1,1,
1043375091.meta.json,0,0.5,
1043382837.meta.json,0,0.25,
1043485061.meta.json,0,0.75,
1043504737.meta.json,0,0.625,
1043716184.meta.json,0,0.625,
1043848965.meta.json,0,0.75,
1043899903.meta.json,1,1,
1043998212.meta.json,1,1,
1044157575.meta.json,0,0.75,
1044169378.meta.json,0,0.75,
1044552043.meta.json,0,0.875,
1044592036.meta.json,0,0.625,
1044650777.meta.json,0,0.875,
1044784819.meta.json,0,0.875,
1045043582.meta.json,0,0.375,
1045098224.meta.json,0,0,
1045162329.meta.json,1,1,
1045183252.meta.json,0,0.875,
1045235066.meta.json,1,1,
1045384334.meta.json,0,0.875,
1045697922.meta.json,0,0.75,
104593713.meta.json,0,0.75,
1045971312.meta.json,0,0.5,
104602905.meta.json,0,0.75,
104604014.meta.json,0,0.875,
1046046201.meta.json,0,0.5,
1046048235.meta.json,0,0.75,
1046079307.meta.json,1,1,
1046093636.meta.json,0,0.25,
1046351665.meta.json,0,0.625,
1046376534.meta.json,0,0.75,
1046379656.meta.json,1,1,
1046427929.meta.json,1,1,
1046431735.meta.json,0,0.375,
