total,EndMessageEvent,Lane,IntermediateMessageEventCatching,Pool,MessageFlow,TextAnnotation,Association_Undirected,SequenceFlow,Task,CollapsedPool,BPMNDiagram,Exclusive_Databased_Gateway,EndNoneEvent,ParallelGateway,InclusiveGateway,StartMessageEvent,StartNoneEvent,StartTimerEvent,DataObject,IntermediateMessageEventThrowing,Association_Unidirectional,IntermediateTimerEvent,DataStore,ITSystem,EndTerminateEvent,EventbasedGateway,CollapsedSubprocess,IntermediateSignalEventCatching,Subprocess,Message,IntermediateLinkEventCatching,IntermediateErrorEvent,ComplexGateway,StartEscalationEvent,EndEscalationEvent,IntermediateConditionalEvent,IntermediateCompensationEventThrowing,EndCompensationEvent,IntermediateCompensationEventCatching,EventSubprocess,StartCompensationEvent,EndCancelEvent,processparticipant,StartSignalEvent,IntermediateEscalationEvent,StartConditionalEvent,EndErrorEvent,IntermediateLinkEventThrowing,Group,Association_Bidirectional,IntermediateMultipleEventCatching,IntermediateEscalationEventThrowing,IntermediateEvent,StartErrorEvent,StartMultipleEvent,EndSignalEvent,IntermediateSignalEventThrowing,IntermediateCancelEvent,CollapsedEventSubprocess,StartParallelMultipleEvent,VerticalLane,VerticalPool,IntermediateParallelMultipleEventCatching,EndMultipleEvent,IntermediateMultipleEventThrowing,ChoreographyTask,ChoreographyParticipant,ChoreographySubprocessExpanded,ChoreographySubprocessCollapsed,CollapsedVerticalPool,fileName,
24,2,1,1,1,3,3,3,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000134475.meta.json,
29,0,0,0,0,0,0,0,15,5,0,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000192834.meta.json,
52,0,1,0,1,0,0,0,26,16,0,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000193243.meta.json,
28,0,0,0,0,0,2,2,9,4,0,1,2,1,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100028644.meta.json,
52,2,2,3,1,2,0,4,20,8,0,1,3,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000300408.meta.json,
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000359086.meta.json,
18,0,1,0,1,0,0,1,6,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000400909.meta.json,
53,0,4,0,2,1,0,0,18,11,0,1,1,2,0,0,1,1,0,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000419154.meta.json,
20,0,3,0,2,1,2,2,3,2,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000451537.meta.json,
43,0,2,0,2,6,0,0,16,7,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000531133.meta.json,
