elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,
1,1,1,0,0,1,1,1,1000134475.meta.json,
1,1,1,1,1,1,1,1,1000192834.meta.json,
0,1,1,1,1,1,1,1,1000193243.meta.json,
1,1,1,1,1,1,1,1,100028644.meta.json,
0,1,0,1,0,1,1,1,1000300408.meta.json,
1,1,1,0,0,1,1,1,1000359086.meta.json,
1,1,1,1,1,1,1,1,1000400909.meta.json,
0,1,1,0,0,1,0,1,1000419154.meta.json,
1,1,1,0,0,1,0,1,1000451537.meta.json,
0,1,1,1,0,1,1,1,1000531133.meta.json,
1,1,1,1,1,1,1,1,1000559104.meta.json,
1,1,1,1,0,1,1,1,1000595524.meta.json,
1,1,1,1,1,1,1,1,1000796620.meta.json,
0,1,1,0,0,1,0,1,1000982613.meta.json,
1,1,1,0,0,1,0,1,1001055838.meta.json,
1,1,1,1,1,1,1,1,100113733.meta.json,
0,1,0,0,0,1,0,1,1001369536.meta.json,
0,1,1,1,0,1,0,1,1001469544.meta.json,
1,1,1,1,1,1,1,1,1001546256.meta.json,
1,1,1,1,1,1,1,1,1001589842.meta.json,
1,1,1,0,1,1,0,1,1001829483.meta.json,
1,1,1,0,0,1,1,1,1001907585.meta.json,
0,1,1,1,1,1,0,1,100193728.meta.json,
1,1,1,1,1,1,1,1,100201977.meta.json,
1,1,1,1,0,1,1,1,1002174688.meta.json,
1,1,1,1,0,1,1,1,1002433722.meta.json,
0,1,1,0,0,1,1,1,1002498967.meta.json,
0,1,0,1,0,1,1,1,1002500217.meta.json,
1,1,1,1,0,1,1,1,10027293.meta.json,
0,1,0,0,0,1,0,1,1002807019.meta.json,
1,1,0,0,0,1,1,1,1002810519.meta.json,
0,1,1,0,0,1,0,1,1003148129.meta.json,
1,1,1,1,1,1,1,1,1003233611.meta.json,
1,1,1,0,0,1,1,1,1003239331.meta.json,
1,1,1,1,1,1,1,1,1003326258.meta.json,
0,1,1,0,0,1,0,1,1003354322.meta.json,
0,1,0,0,0,1,0,1,100343055.meta.json,
1,1,1,0,0,1,1,1,1003554192.meta.json,
0,0,0,0,0,1,0,0,100368041.meta.json,
1,1,1,1,1,1,1,1,1003704227.meta.json,
0,0,0,0,0,1,1,0,100389543.meta.json,
1,1,1,1,0,1,1,1,1003976445.meta.json,
1,1,1,1,0,1,1,1,1004160798.meta.json,
1,1,1,0,0,1,1,1,1004162666.meta.json,
0,1,1,0,0,1,0,1,1004168502.meta.json,
0,1,0,0,0,1,0,0,1004218825.meta.json,
0,1,1,1,0,1,0,0,1004323525.meta.json,
1,1,1,1,0,1,1,1,1004369062.meta.json,
0,1,1,1,1,1,1,1,1004444520.meta.json,
1,1,1,0,0,1,1,1,1004549695.meta.json,
1,1,1,1,0,1,1,1,1004732332.meta.json,
1,1,1,1,1,1,1,1,1004747534.meta.json,
1,1,1,1,1,1,1,1,1004882921.meta.json,
0,1,1,1,1,1,1,1,1004966509.meta.json,
0,1,0,0,0,1,0,0,100513699.meta.json,
0,1,1,1,0,1,0,1,1005180127.meta.json,
1,1,1,1,1,1,1,1,1005205313.meta.json,
0,1,1,0,1,1,0,1,1005205836.meta.json,
1,1,1,1,1,1,0,1,1005230335.meta.json,
0,1,0,0,0,1,0,1,1005251135.meta.json,
1,1,1,1,1,1,1,1,1005540511.meta.json,
0,1,0,1,0,1,0,1,1005631758.meta.json,
1,1,1,0,0,1,1,1,1005648178.meta.json,
0,1,1,0,1,1,0,1,1005740445.meta.json,
1,1,1,1,0,1,1,1,1005869593.meta.json,
0,1,1,1,0,1,0,1,1006208094.meta.json,
