elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,min,normalized,hasError
24,2,3,0,2,1,3,5,1000134475.meta.json,0,0.75,1
29,5,2,1,1,6,0,15,1000192834.meta.json,1,1,0
52,16,2,1,1,5,2,26,1000193243.meta.json,0,0.875,1
28,4,4,1,1,2,0,9,100028644.meta.json,1,1,0
52,8,10,1,4,3,3,20,1000300408.meta.json,0,0.625,1
4,1,0,0,0,0,0,0,1000359086.meta.json,0,0.75,1
18,5,2,1,1,0,2,6,1000400909.meta.json,1,1,0
53,11,5,2,3,1,6,18,1000419154.meta.json,0,0.5,1
20,2,4,2,2,0,5,3,1000451537.meta.json,0,0.625,1
43,8,5,1,3,4,4,16,1000531133.meta.json,0,0.75,1
6,1,2,1,1,0,0,2,1000559104.meta.json,1,1,0
21,5,1,1,0,3,2,9,1000595524.meta.json,0,0.875,1
30,12,3,1,1,0,0,14,1000796620.meta.json,1,1,0
45,6,4,2,2,0,9,8,1000982613.meta.json,0,0.5,1
16,0,0,0,0,0,8,0,1001055838.meta.json,0,0.625,1
10,4,2,1,1,0,0,3,100113733.meta.json,1,1,0
63,12,9,6,3,3,8,20,1001369536.meta.json,0,0.375,1
47,12,3,1,2,5,5,21,1001469544.meta.json,0,0.625,1
16,3,2,1,1,0,3,4,1001546256.meta.json,1,1,0
18,6,2,1,1,0,2,7,1001589842.meta.json,1,1,0
17,2,2,0,1,0,6,3,1001829483.meta.json,0,0.75,1
3,0,0,0,0,0,0,0,1001907585.meta.json,0,0.75,1
41,10,2,1,1,4,5,19,100193728.meta.json,0,0.75,1
25,6,2,1,1,3,0,13,100201977.meta.json,1,1,0
23,3,3,1,2,3,2,9,1002174688.meta.json,0,0.875,1
14,2,6,1,3,0,0,5,1002433722.meta.json,0,0.875,1
45,12,5,2,2,3,4,18,1002498967.meta.json,0,0.625,1
54,7,14,1,3,2,4,20,1002500217.meta.json,0,0.625,1
17,3,3,1,2,1,3,6,10027293.meta.json,0,0.875,1
68,10,13,2,4,3,7,23,1002807019.meta.json,0,0.375,1
32,3,11,2,4,2,0,13,1002810519.meta.json,0,0.625,1
57,13,6,2,2,5,5,25,1003148129.meta.json,0,0.5,1
14,5,2,1,1,0,0,6,1003233611.meta.json,1,1,0
23,7,4,2,2,0,0,9,1003239331.meta.json,0,0.75,1
17,4,2,1,1,2,0,8,1003326258.meta.json,1,1,0
59,10,7,2,4,1,6,14,1003354322.meta.json,0,0.5,1
52,9,8,2,2,2,5,18,100343055.meta.json,0,0.375,1
0,0,0,0,0,0,0,0,1003554192.meta.json,0,0.75,1
189,42,39,7,8,6,7,67,100368041.meta.json,0,0.125,1
24,6,2,1,1,0,2,7,1003704227.meta.json,1,1,0
179,39,29,6,11,13,4,82,100389543.meta.json,0,0.25,1
22,3,3,1,2,3,2,10,1003976445.meta.json,0,0.875,1
4,1,1,1,0,0,0,1,1004160798.meta.json,0,0.875,1
36,9,6,2,2,0,3,13,1004162666.meta.json,0,0.75,1
57,13,5,2,2,3,5,19,1004168502.meta.json,0,0.5,1
141,14,30,4,8,6,9,47,1004218825.meta.json,0,0.25,1
96,20,6,1,5,14,8,44,1004323525.meta.json,0,0.5,1
27,5,7,1,2,2,0,9,1004369062.meta.json,0,0.875,1
54,15,2,1,1,6,0,30,1004444520.meta.json,0,0.875,1
1,0,0,0,0,0,0,0,1004549695.meta.json,0,0.75,1
37,24,1,1,0,2,0,9,1004732332.meta.json,0,0.875,1
8,2,2,1,1,0,0,3,1004747534.meta.json,1,1,0
12,1,2,1,1,0,3,2,1004882921.meta.json,1,1,0
46,12,2,1,1,6,0,25,1004966509.meta.json,0,0.875,1
104,20,9,2,4,10,6,42,100513699.meta.json,0,0.25,1
55,10,3,1,2,3,6,16,1005180127.meta.json,0,0.625,1
14,3,2,1,1,1,2,5,1005205313.meta.json,1,1,0
41,6,4,0,1,4,9,14,1005205836.meta.json,0,0.625,1
36,4,2,1,1,0,9,4,1005230335.meta.json,0,0.875,1
82,13,17,6,6,1,12,25,1005251135.meta.json,0,0.375,1
13,2,2,1,1,1,2,5,1005540511.meta.json,1,1,0
133,30,11,1,0,0,17,26,1005631758.meta.json,0,0.5,1
4,1,0,0,0,0,0,0,1005648178.meta.json,0,0.75,1
57,8,7,2,1,8,7,25,1005740445.meta.json,0,0.625,1
27,7,6,1,3,1,0,12,1005869593.meta.json,0,0.875,1
71,13,5,1,2,1,6,14,1006208094.meta.json,0,0.625,1
29,3,3,1,2,4,3,11,1006243522.meta.json,0,0.875,1
62,15,4,2,2,2,4,20,1006305221.meta.json,0,0.625,1
66,11,5,1,2,5,4,24,1006453108.meta.json,0,0.75,1
22,3,8,3,3,0,0,8,1006466303.meta.json,0,0.625,1
10,3,2,1,1,0,0,4,1006504541.meta.json,1,1,0
28,2,7,1,3,2,4,9,1006550737.meta.json,0,0.875,1
46,16,0,0,0,0,0,29,1006741644.meta.json,0,0.625,1
43,7,2,1,1,2,0,12,1006854202.meta.json,0,0.875,1
12,0,6,1,2,1,0,5,1006911955.meta.json,0,0.875,1
28,6,2,1,1,2,2,10,1007082441.meta.json,1,1,0
36,9,2,1,1,6,0,18,1007265822.meta.json,1,1,0
49,7,3,1,2,3,6,15,1007367623.meta.json,0,0.625,1
31,8,3,1,1,4,0,14,1007403688.meta.json,1,1,0
15,2,2,1,1,0,3,3,1007437163.meta.json,1,1,0
31,6,4,2,0,2,5,11,1007541173.meta.json,0,0.625,1
27,7,2,1,1,2,3,12,1007550920.meta.json,1,1,0
23,9,2,1,1,0,1,10,100756588.meta.json,1,1,0
70,7,9,1,3,7,5,25,1007595523.meta.json,0,0.5,1
55,13,3,1,2,7,3,28,1007769308.meta.json,0,0.75,1
18,4,2,1,1,0,4,5,1007970769.meta.json,1,1,0
24,6,5,2,2,1,0,11,1008013011.meta.json,0,0.75,1
37,11,2,1,1,2,6,15,1008414191.meta.json,0,0.875,1
39,14,5,0,1,0,4,10,1008433273.meta.json,0,0.75,1
31,5,7,2,3,2,3,13,1008587559.meta.json,0,0.75,1
58,4,14,2,5,3,5,17,1008690213.meta.json,0,0.375,1
12,5,1,0,0,2,0,3,1008737517.meta.json,0,0.75,1
66,10,6,3,3,6,7,22,1008939313.meta.json,0,0.5,1
46,15,0,0,0,2,5,16,1009005916.meta.json,0,0.5,1
13,1,3,1,2,0,4,2,1009018972.meta.json,0,0.875,1
79,23,2,1,1,2,10,19,1009034808.meta.json,0,0.75,1
78,18,14,2,2,5,5,34,100918869.meta.json,0,0.375,1
45,7,3,0,0,3,8,12,1009212273.meta.json,0,0.5,1
57,7,13,2,3,3,5,21,1009232864.meta.json,0,0.375,1
137,20,10,4,6,11,8,44,1009591085.meta.json,0,0.25,1
16,3,2,1,1,2,0,8,1009606690.meta.json,1,1,0
83,12,12,2,3,11,7,37,1009903128.meta.json,0,0.25,1
65,15,7,2,1,5,9,26,1009926561.meta.json,0,0.625,1
72,8,10,4,4,4,6,21,1010183281.meta.json,0,0.375,1
0,0,0,0,0,0,0,0,1010268378.meta.json,0,0.75,1
45,6,2,1,1,4,2,14,1010632691.meta.json,0,0.875,1
20,4,2,1,1,2,3,8,1010741295.meta.json,1,1,0
39,12,1,1,0,2,5,14,101085585.meta.json,0,0.625,1
34,5,2,1,1,2,6,9,1010934224.meta.json,0,0.875,1
20,3,4,3,1,1,4,7,1010961388.meta.json,0,0.875,1
26,4,6,3,3,0,6,7,1011162311.meta.json,0,0.625,1
26,9,2,1,1,2,0,12,1011189926.meta.json,1,1,0
19,2,5,1,0,0,4,5,101120533.meta.json,0,0.875,1
22,5,5,1,1,1,0,11,1011297735.meta.json,1,1,0
36,13,0,0,0,2,8,12,101132629.meta.json,0,0.625,1
79,7,17,1,2,4,6,30,1011361322.meta.json,0,0.5,1
70,9,7,2,2,11,4,34,1011518868.meta.json,0,0.625,1
56,3,15,1,0,0,0,4,1011817112.meta.json,0,0.625,1
1,0,0,0,0,0,0,0,1011821688.meta.json,0,0.75,1
65,10,9,3,3,0,8,16,101213990.meta.json,0,0.375,1
230,23,27,0,2,12,2,68,1012180590.meta.json,0,0.375,1
2,0,1,1,0,0,0,0,1012185802.meta.json,0,0.875,1
86,18,16,1,2,2,9,35,1012220286.meta.json,0,0.375,1
20,6,2,1,1,1,0,10,101230737.meta.json,1,1,0
19,10,0,0,0,0,0,8,1012370956.meta.json,0,0.75,1
78,12,17,2,3,5,6,34,1012437227.meta.json,0,0.375,1
18,4,2,1,1,2,0,9,1012743609.meta.json,1,1,0
8,2,0,0,0,0,4,0,101281281.meta.json,0,0.75,1
12,4,2,1,1,0,0,5,1012896506.meta.json,1,1,0
32,8,2,1,1,1,8,12,1013194106.meta.json,0,0.875,1
85,18,6,4,2,8,7,33,1013254127.meta.json,0,0.5,1
38,11,3,2,1,2,4,15,1013385050.meta.json,0,0.75,1
42,8,8,3,5,2,6,13,1013472006.meta.json,0,0.375,1
78,17,7,1,4,8,7,33,1013671876.meta.json,0,0.625,1
75,16,3,1,2,11,7,33,1013962777.meta.json,0,0.625,1
50,12,5,1,0,4,0,22,1014071243.meta.json,0,0.75,1
7,3,1,0,0,0,0,2,1014225342.meta.json,0,0.75,1
25,4,2,1,1,4,3,11,1014293645.meta.json,1,1,0
20,4,4,2,2,0,0,6,1014335529.meta.json,0,0.75,1
57,6,12,3,4,6,6,23,101435818.meta.json,0,0.375,1
41,8,2,1,1,2,2,14,1014461262.meta.json,0,0.875,1
30,10,1,1,0,0,4,9,1014602753.meta.json,0,0.875,1
63,14,4,1,3,2,6,16,1014610976.meta.json,0,0.625,1
127,28,15,5,5,12,9,56,1014649280.meta.json,0,0.25,1
60,18,1,1,0,4,8,24,1014684167.meta.json,0,0.625,1
52,14,3,1,2,2,5,19,1014787172.meta.json,0,0.625,1
11,2,2,1,1,0,3,3,1014927748.meta.json,1,1,0
18,8,1,1,0,0,0,8,1015184967.meta.json,0,0.875,1
33,5,6,1,5,4,2,15,1015232874.meta.json,0,0.875,1
42,10,4,1,2,3,2,19,1015236059.meta.json,0,0.75,1
215,40,28,1,8,18,21,92,1015246966.meta.json,0,0.25,1
146,35,19,4,5,8,11,62,1015262916.meta.json,0,0.125,1
15,3,3,2,1,0,3,3,1015323430.meta.json,0,0.875,1
33,5,6,2,2,2,4,12,1015337813.meta.json,0,0.75,1
16,4,2,1,1,0,2,5,1015395443.meta.json,1,1,0
7,2,0,0,0,1,0,3,101554238.meta.json,0,0.75,1
17,2,4,1,1,0,3,5,1015656767.meta.json,1,1,0
26,6,2,1,1,1,0,10,1015741015.meta.json,1,1,0
28,7,2,1,1,0,0,8,1015762573.meta.json,1,1,0
44,14,2,1,1,5,0,22,101578045.meta.json,0,0.875,1
14,4,2,1,1,1,0,6,1015819134.meta.json,1,1,0
22,3,5,3,1,0,0,7,1015840676.meta.json,0,0.875,1
0,0,0,0,0,0,0,0,1016144510.meta.json,0,0.75,1
46,5,3,1,0,1,3,9,1016244355.meta.json,0,0.75,1
28,7,2,1,1,4,0,14,1016249624.meta.json,1,1,0
3,1,1,1,0,0,0,0,1016273858.meta.json,0,0.875,1
70,11,13,2,4,3,7,25,101642429.meta.json,0,0.375,1
